Index,Variant,"Region, subregion, country or area *",Notes,Country code,Parent code,1990,1995,2000,2005,2010,2015,2019,2020
1,Estimates,WORLD,,900,0,5327231,5744213,6143494,6541907,6956824,7379797,7713468,7794799
2,Estimates,UN development groups,a,1803,900,,,,,,,,
3,Estimates,More developed regions,b,901,1803,1145508,1169481,1188359,1209215,1234768,1256622,1270630,1273304
4,Estimates,Less developed regions,c,902,1803,4181723,4574731,4955134,5332692,5722056,6123175,6442838,6521494
5,Estimates,Least developed countries,d,941,902,506276,579682,657216,744191,836615,941131,1033389,1057438
6,Estimates,"Less developed regions, excluding least developed countries",e,934,902,3675448,3995050,4297919,4588501,4885441,5182043,5409449,5464056
7,Estimates,"Less developed regions, excluding China",,948,1803,2978289,3305985,3635583,3971957,4322553,4684981,4977204,5050208
8,Estimates,Land-locked Developing Countries (LLDC),f,1636,1803,265852,298698,333947,374685,420661,473817,520973,533143
9,Estimates,Small Island Developing States (SIDS),g,1637,1803,49808,53802,57614,61045,65253,68856,71429,72076
10,Estimates,World Bank income groups,,1802,900,,,,,,,,
11,Estimates,High-income countries,h,1503,1802,1038455,1075966,1112318,1151595,1197095,1233935,1258043,1263093
12,Estimates,Middle-income countries,h,1517,1802,3936199,4261804,4567891,4860124,5153738,5460516,5696667,5753052
13,Estimates,Upper-middle-income countries,h,1502,1517,2056240,2181157,2285145,2376345,2466364,2566519,2638958,2654816
14,Estimates,Lower-middle-income countries,h,1501,1517,1879959,2080646,2282746,2483779,2687375,2893996,3057709,3098235
15,Estimates,Low-income countries,h,1500,1802,350701,404387,461021,527686,603340,682576,755850,775711
16,Estimates,No income group available,,1518,1802,1876,2056,2263,2503,2651,2771,2908,2944
17,Estimates,Geographic regions,i,1840,900,,,,,,,,
18,Estimates,Africa,j,903,1840,630350,717270,810984,916154,1039304,1182439,1308064,1340598
19,Estimates,Asia,k,935,1840,3226099,3493087,3741263,3977986,4209594,4433475,4601371,4641055
20,Estimates,Europe,l,908,1840,720858,726994,725558,729288,736413,743059,747183,747636
21,Estimates,Latin America and the Caribbean,m,904,1840,442840,483018,521836,557501,591352,623934,648121,653962
22,Estimates,Northern America,n,905,1840,279785,294454,312427,327287,343287,357031,366601,368870
23,Estimates,Oceania,o,909,1840,27299,29390,31425,33690,36873,39859,42128,42678
24,Estimates,Sustainable Development Goal (SDG) regions,p,1828,900,,,,,,,,
25,Estimates,SUB-SAHARAN AFRICA,,947,1828,490605,560759,639661,729733,836364,958577,1066283,1094366
26,Estimates,Eastern Africa,,910,947,197168,223934,257353,295185,339318,389671,433905,445406
27,Estimates,Burundi,,108,910,5439,5987,6379,7365,8676,10160,11531,11891
28,Estimates,Comoros,,174,910,412,475,542,612,690,777,851,870
